,_id,AvgDuration,StdDuration
214,"{'year': {'year': 'init_date'}, 'day': 329}",4025.36660929432,17882.17701497862
215,"{'year': {'year': 'init_date'}, 'day': 330}",4041.4176136363635,13803.024877804988
216,"{'year': {'year': 'init_date'}, 'day': 331}",3166.467741935484,18159.136885279382
217,"{'year': {'year': 'init_date'}, 'day': 332}",3126.7150635208714,17825.855396720806
218,"{'year': {'year': 'init_date'}, 'day': 333}",2765.336464560205,8815.491108190936
219,"{'year': {'year': 'init_date'}, 'day': 334}",2939.6351132686086,15452.258445296058
220,"{'year': {'year': 'init_date'}, 'day': 335}",2865.1805555555557,9853.842837633883
221,"{'year': {'year': 'init_date'}, 'day': 336}",3997.713464696223,18843.379451290566
222,"{'year': {'year': 'init_date'}, 'day': 337}",3777.6659685863874,14129.63708276038
223,"{'year': {'year': 'init_date'}, 'day': 338}",3093.3503717472117,11605.53680869377
224,"{'year': {'year': 'init_date'}, 'day': 339}",4178.046119235096,10869.460232345027
225,"{'year': {'year': 'init_date'}, 'day': 340}",2844.2790484903935,8327.70384555865
226,"{'year': {'year': 'init_date'}, 'day': 341}",3096.172661870504,11775.828320727702
227,"{'year': {'year': 'init_date'}, 'day': 342}",3974.2217142857144,12962.44096205814
228,"{'year': {'year': 'init_date'}, 'day': 343}",2056.077259475219,3589.223423341141
229,"{'year': {'year': 'init_date'}, 'day': 345}",2959.611584327087,7907.7989933343615
230,"{'year': {'year': 'init_date'}, 'day': 346}",3655.445552784705,22331.92487302986
231,"{'year': {'year': 'init_date'}, 'day': 347}",4438.495958429561,36704.926690611275
232,"{'year': {'year': 'init_date'}, 'day': 348}",3570.21444527178,17158.35993535118
233,"{'year': {'year': 'init_date'}, 'day': 349}",5040.487109905021,64336.67500006114
234,"{'year': {'year': 'init_date'}, 'day': 350}",5019.836336336336,38731.07166746425
235,"{'year': {'year': 'init_date'}, 'day': 351}",4080.414204003813,22574.818053154075
236,"{'year': {'year': 'init_date'}, 'day': 352}",4569.40780809031,56951.249302012155
237,"{'year': {'year': 'init_date'}, 'day': 353}",3873.843977364592,13448.20354565643
238,"{'year': {'year': 'init_date'}, 'day': 354}",2918.089390142022,9689.89349185039
239,"{'year': {'year': 'init_date'}, 'day': 355}",3799.0945353011566,17311.162147980696
240,"{'year': {'year': 'init_date'}, 'day': 356}",5021.1684526360905,63131.96042201845
241,"{'year': {'year': 'init_date'}, 'day': 357}",4939.234303215926,28611.795756901338
242,"{'year': {'year': 'init_date'}, 'day': 358}",6327.018976423232,33811.350837937935
243,"{'year': {'year': 'init_date'}, 'day': 359}",11769.621549421194,86128.59185651563
244,"{'year': {'year': 'init_date'}, 'day': 360}",5414.184931506849,20736.466184195087
245,"{'year': {'year': 'init_date'}, 'day': 361}",6371.203283815481,71759.08504465868
246,"{'year': {'year': 'init_date'}, 'day': 362}",3563.371532846715,30823.11358325669
247,"{'year': {'year': 'init_date'}, 'day': 363}",4285.966292134832,55395.754180731645
248,"{'year': {'year': 'init_date'}, 'day': 364}",9764.500821018062,116386.4559429321
249,"{'year': {'year': 'init_date'}, 'day': 365}",5027.079491255962,34421.53129239828
250,"{'year': {'year': 'init_date'}, 'day': 366}",3349.50796812749,14376.871831947563
